Item,Item Type,Item Description,Primary Vendor,Product Line,Default Warehouse,Standard Cost,Last Total Unit Cost,Last Allocated Cost,Standard Unit Price,Qty On Hand,On PO,On BO,On SO,YTD QTY SOLD:,YTD $SOLD,PY QTY SOLD,PY $SOLD,Commission Rate,Last Receipt Date,INN_QTY,MASTER,UPC,Family,Brand,Category,Licensee
2246,1,GIANT COLOR MRPH STRESS BALL 6,JS V003,97,0,2.51,2.86,0.35,10,228,0,246,0,0,0,1854,18094.56,10,20201012,,6,10984022462,,GIANT,,
STTGR,1,RAINFOREST STRETCH TO GO 12,WING001,97,0,1.89,2.0454,0.1554,5,180,0,0,0,12,60,384,1920,10,20190308,12,96,10984000224,STRETCHIES,CLUB EARTH,,
7523,1,SNOWTIME CAMO BLASTER 6,AOJI003,96,0,3.45,3.9475,0.4975,5,174,0,0,0,,,0,0,10,20170118,,6,10984075239,SNOWTIME,SNOWTIME,INDOORPLAY,KM6
792B,1,"M. NEON I/O BALL BULK, BLUE",EVER001,200,0,0.71,0.7689,0.0589,0,144,0,0,0,,,500,250,,20131009,,144,,HYPERFLEX,PV,CUSTOM,
A1-1930,1,CRAY DOUGH SALON CARRY CASE 4,A1TO003,97,0,5.25,5.919,0.669,8.4,136,0,0,0,,,380,3677.6,10,20190821,,4,628165719300,,CRAYOLA,,
ARFO,1,ARACHNA FOAMIA 12,WELL006,97,0,0.8,0.8307,0.0307,0.25,120,0,0,0,24,6,1164,321,15,20170424,12,72,10984002143,,GREATDEALS,,
POCR,1,CROC POPPERZ 12,WINN006,97,0,1.3,1.3861,0.2161,3.5,108,0,0,60,,,852,2889.6,15,20171020,12,72,10984000699,NOVELTIES,CLUB EARTH,,
944983,1,SANDS ALIVE! GLOW EXPLORER SET,BART001,98,1,0,12.8373,0,24,101,0,0,0,,,,,,20151021,,,,SANDSALIVE,PV,ARTS CRAFT,
10102,1,SLIME ALIVE CRITTERS BOX 12,JS V003,97,0,1.76,1.8979,0.1379,5,96,0,0,0,,,4920,12612,10,20200616,12,48,10984101020,SLIME,SLIMEALIVE,,
692P,1,"NEON I/O BALL BULK, PINK",EVER001,200,0,0.364,0.353,0.0284,0,75,0,0,0,,,,,,20110328,,288,,HYPERFLEX,PV,CUSTOM,
7812,1,SHIMMER FLIP JOURNAL 6,GIAN003,97,0,2,2.408,0.408,3.5,66,0,0,0,,,828,3465,10,20181003,6,48,10984078124,SHIMMER,NOVELTIES,,LINA2
66553,1,DONALD TALKING PEN 12,JAST001,97,0,2.26,3.1147,0.6647,6.5,48,0,0,0,,,,,10,20191010,12,24,819368600032,TRUMP,PV,GAGS GIFTS,.50/PEN
STRO,1,ROBOT STRETCH 24,WING001,97,0,0.44,0.4617,0.0217,1.15,48,0,0,0,,,1008,1146.96,15,20180730,24,432,10984000538,STRETCHIES,CLUB EARTH,,
2642,1,ZIBBIES SPINNER RACK,GRAN006,95,0,79.87,64.1362,2.1362,25,28,0,0,0,,,,,,20100929,,,10984026422,DISPLAYS,PV,DISPLAYS,
Q0407-006-D2-P1,1,ZIBBIE K/C POWER PANEL,ARTW003,94,0,10.19,11.532,1.342,0,25,0,0,0,,,,,,20070910,,,,,,,
8840,1,GALAXY GLIDER 12,AVIA003,97,0,1.35,1.572,0.222,1.95,24,0,0,0,,,,,15,20160607,,12,10984088406,FLYING TOY,PV,OUTDOOR FU,
SOSA,1,SOFTEEZ SAFARI ASST 20,FAST003,97,0,0.55,0.6076,0.0576,1.5,20,0,0,0,,,80,96,15,20170214,20,80,10984002075,SOFTEEZ,CLUB EARTH,FIGURINES,
23007,1,SANDS ALIVE! 5 LB. BOX 2,MCAS001,97,0,7.5,9.0888,0,17.5,16,0,0,0,,,4,60,10,20170626,,8,10984230072,SANDSALIVE,PV,ARTS CRAFT,
6420,1,COLORFLAME TEALIGHTS 12,JOEL003,97,0,1.52,1.52,0,1,12,0,0,0,60,60,756,876,15,20151216,12 / COUNTER DISPLAY,48,48519164202,,NOVELTIES,,
446-110,1,ELITE SCOOTER (PINK) 2,,97,0,27,30.15,3.15,45,9,0,0,0,,,2,90,5,20170818,,4,4897070181175,SCOOTERS,GLOBBER,OUTDOOR FU,
3303,1,EVO OCEAN BOOK 6,ALZZ001,97,0,3.35,3.7968,0.4468,2,8,0,0,0,,,58,116,10,20161207,6,24,9791185304991,VIRTUAL,PV,TECH,
289-TLB-B,1,BALL DISPLAY,GRAN006,95,0,25.86,30.2171,4.2273,15,7,0,0,0,,,,,,20110720,,,10984002891,DISPLAYS,PV,DISPLAYS,
6678,1,ODBALLZ ASSORTMENT W/ DISPLAY,,97,0,0,104.11,0,250,3,0,0,0,,,3,600,,20190911,,,,ODDBALLZ,PV,DISPLAYS,ACORN5
77602,1,MEGA MARBLES DISP. ASST 288 PC,,98,0,0,119.638,0,460.8,3,0,0,0,,,1,460.8,,20191206,,,VARIOUS,MARBLES,MEGA FUN,CUSTOM,
